"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Age_Group","Ethnicity","Ethnicity_type","Sex","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","White","ONS 2021 5+1","Male","80.99199542","% of Total Age Group Population","62.69766172","% of Total Ethnic Group Population","14951665","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","White British","ONS 2021 19+1","All","71.77689989","% of Total Age Group Population","60.68866131","% of Total Ethnic Group Population","26918480","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","White British","ONS 2021 19+1","Female","71.10388101","% of Total Age Group Population","60.02906171","% of Total Ethnic Group Population","13539825","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","White British","ONS 2021 19+1","Male","72.47112375","% of Total Age Group Population","61.37113129","% of Total Ethnic Group Population","13378655","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","White Irish","ONS 2021 19+1","All","0.849172406","% of Total Age Group Population","62.75728882","% of Total Ethnic Group Population","318465","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","White Irish","ONS 2021 19+1","Female","0.828707014","% of Total Age Group Population","59.85851383","% of Total Ethnic Group Population","157805","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","White Irish","ONS 2021 19+1","Male","0.870282606","% of Total Age Group Population","65.89152056","% of Total Ethnic Group Population","160660","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Gypsy or Irish Traveller","ONS 2021 19+1","All","0.11243105","% of Total Age Group Population","62.27292867","% of Total Ethnic Group Population","42165","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Gypsy or Irish Traveller","ONS 2021 19+1","Female","0.111961177","% of Total Age Group Population","62.86303995","% of Total Ethnic Group Population","21320","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Gypsy or Irish Traveller","ONS 2021 19+1","Male","0.112915728","% of Total Age Group Population","61.680722","% of Total Ethnic Group Population","20845","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Roma","ONS 2021 19+1","All","0.21452959","% of Total Age Group Population","79.74131523","% of Total Ethnic Group Population","80455","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Roma","ONS 2021 19+1","Female","0.183774924","% of Total Age Group Population","77.72348695","% of Total Ethnic Group Population","34995","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Roma","ONS 2021 19+1","Male","0.246253251","% of Total Age Group Population","81.36746018","% of Total Ethnic Group Population","45460","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other White Background","ONS 2021 19+1","All","7.728838118","% of Total Age Group Population","79.0223841","% of Total Ethnic Group Population","2898545","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other White Background","ONS 2021 19+1","Female","8.152895276","% of Total Age Group Population","79.45891168","% of Total Ethnic Group Population","1552500","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other White Background","ONS 2021 19+1","Male","7.291420084","% of Total Age Group Population","78.52482112","% of Total Ethnic Group Population","1346045","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Other","ONS 2021 5+1","All","2.346199909","% of Total Age Group Population","70.08072192","% of Total Ethnic Group Population","879895","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Other","ONS 2021 5+1","Female","2.271520033","% of Total Age Group Population","70.04631429","% of Total Ethnic Group Population","432550","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Other","ONS 2021 5+1","Male","2.423232743","% of Total Age Group Population","70.11402375","% of Total Ethnic Group Population","447345","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Arab","ONS 2021 19+1","All","0.590153024","% of Total Age Group Population","66.70534517","% of Total Ethnic Group Population","221325","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Arab","ONS 2021 19+1","Female","0.543920211","% of Total Age Group Population","66.46239733","% of Total Ethnic Group Population","103575","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Arab","ONS 2021 19+1","Male","0.637842505","% of Total Age Group Population","66.92051945","% of Total Ethnic Group Population","117750","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Ethnic Background","ONS 2021 19+1","All","1.756046885","% of Total Age Group Population","71.29309878","% of Total Ethnic Group Population","658570","37502985"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Ethnic Background","ONS 2021 19+1","Female","1.727599822","% of Total Age Group Population","71.25606481","% of Total Ethnic Group Population","328975","19042315"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Working Age (16-64)","Any Other Ethnic Background","ONS 2021 19+1","Male","1.785390238","% of Total Age Group Population","71.3301015","% of Total Ethnic Group Population","329595","18460670"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","All","All","All","100","% of Total Age Group Population","18.50949091","% of Total Ethnic Group Population","11031105","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","All","All","Female","100","% of Total Age Group Population","17.68954534","% of Total Ethnic Group Population","5381165","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","All","All","Male","100","% of Total Age Group Population","19.36436898","% of Total Ethnic Group Population","5649940","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Asian","ONS 2021 5+1","All","11.89522718","% of Total Age Group Population","23.79150039","% of Total Ethnic Group Population","1312175","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Asian","ONS 2021 5+1","Female","11.93616996","% of Total Age Group Population","22.8743948","% of Total Ethnic Group Population","642305","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Asian","ONS 2021 5+1","Male","11.8562321","% of Total Age Group Population","24.74269072","% of Total Ethnic Group Population","669870","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Bangladeshi","ONS 2021 19+1","All","1.73844778","% of Total Age Group Population","29.7391601","% of Total Ethnic Group Population","191770","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Bangladeshi","ONS 2021 19+1","Female","1.7566828","% of Total Age Group Population","29.39822734","% of Total Ethnic Group Population","94530","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Bangladeshi","ONS 2021 19+1","Male","1.721080224","% of Total Age Group Population","30.07825791","% of Total Ethnic Group Population","97240","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Chinese","ONS 2021 19+1","All","0.589877442","% of Total Age Group Population","14.60294662","% of Total Ethnic Group Population","65070","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Chinese","ONS 2021 19+1","Female","0.587790934","% of Total Age Group Population","12.86426029","% of Total Ethnic Group Population","31630","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Chinese","ONS 2021 19+1","Male","0.591864692","% of Total Age Group Population","16.74344082","% of Total Ethnic Group Population","33440","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Indian","ONS 2021 19+1","All","3.368882809","% of Total Age Group Population","19.93407607","% of Total Ethnic Group Population","371625","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Indian","ONS 2021 19+1","Female","3.373154326","% of Total Age Group Population","19.45435838","% of Total Ethnic Group Population","181515","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Indian","ONS 2021 19+1","Male","3.364814494","% of Total Age Group Population","20.41471586","% of Total Ethnic Group Population","190110","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Pakistani","ONS 2021 19+1","All","4.316340022","% of Total Age Group Population","29.98702624","% of Total Ethnic Group Population","476140","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Pakistani","ONS 2021 19+1","Female","4.34915116","% of Total Age Group Population","29.60875478","% of Total Ethnic Group Population","234035","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Pakistani","ONS 2021 19+1","Male","4.285089753","% of Total Age Group Population","30.36199123","% of Total Ethnic Group Population","242105","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Asian Background","ONS 2021 19+1","All","1.881679125","% of Total Age Group Population","21.33770566","% of Total Ethnic Group Population","207570","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Asian Background","ONS 2021 19+1","Female","1.869390736","% of Total Age Group Population","19.45424833","% of Total Ethnic Group Population","100595","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Asian Background","ONS 2021 19+1","Male","1.893382939","% of Total Age Group Population","23.47487382","% of Total Ethnic Group Population","106975","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black","ONS 2021 5+1","All","5.407255212","% of Total Age Group Population","24.75827189","% of Total Ethnic Group Population","596480","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black","ONS 2021 5+1","Female","5.485243437","% of Total Age Group Population","23.30274143","% of Total Ethnic Group Population","295170","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black","ONS 2021 5+1","Male","5.332976987","% of Total Age Group Population","26.37194321","% of Total Ethnic Group Population","301310","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black African","ONS 2021 19+1","All","3.513292639","% of Total Age Group Population","26.03958799","% of Total Ethnic Group Population","387555","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black African","ONS 2021 19+1","Female","3.578128528","% of Total Age Group Population","24.68763022","% of Total Ethnic Group Population","192545","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black African","ONS 2021 19+1","Male","3.451541078","% of Total Age Group Population","27.52803834","% of Total Ethnic Group Population","195010","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black Caribbean","ONS 2021 19+1","All","0.759171452","% of Total Age Group Population","13.4396264","% of Total Ethnic Group Population","83745","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black Caribbean","ONS 2021 19+1","Female","0.766934298","% of Total Age Group Population","12.24265796","% of Total Ethnic Group Population","41270","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Black Caribbean","ONS 2021 19+1","Male","0.751777895","% of Total Age Group Population","14.85036011","% of Total Ethnic Group Population","42475","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Black Background","ONS 2021 19+1","All","1.13479112","% of Total Age Group Population","42.03986365","% of Total Ethnic Group Population","125180","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Black Background","ONS 2021 19+1","Female","1.140180611","% of Total Age Group Population","40.99899766","% of Total Ethnic Group Population","61355","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Black Background","ONS 2021 19+1","Male","1.129658014","% of Total Age Group Population","43.09151673","% of Total Ethnic Group Population","63825","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed","ONS 2021 5+1","All","6.810061186","% of Total Age Group Population","43.73066255","% of Total Ethnic Group Population","751225","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed","ONS 2021 5+1","Female","6.843685336","% of Total Age Group Population","42.03947444","% of Total Ethnic Group Population","368270","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed","ONS 2021 5+1","Male","6.778036581","% of Total Age Group Population","45.49050586","% of Total Ethnic Group Population","382955","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Asian","ONS 2021 19+1","All","2.130611575","% of Total Age Group Population","48.14215485","% of Total Ethnic Group Population","235030","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Asian","ONS 2021 19+1","Female","2.133088281","% of Total Age Group Population","46.8299947","% of Total Ethnic Group Population","114785","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Asian","ONS 2021 19+1","Male","2.128252689","% of Total Age Group Population","49.46521864","% of Total Ethnic Group Population","120245","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Black African","ONS 2021 19+1","All","1.099617853","% of Total Age Group Population","48.60165077","% of Total Ethnic Group Population","121300","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Black African","ONS 2021 19+1","Female","1.10970394","% of Total Age Group Population","47.03820402","% of Total Ethnic Group Population","59715","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Black African","ONS 2021 19+1","Male","1.090011575","% of Total Age Group Population","50.22017451","% of Total Ethnic Group Population","61585","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Black Caribbean","ONS 2021 19+1","All","1.911231921","% of Total Age Group Population","41.09626424","% of Total Ethnic Group Population","210830","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Black Caribbean","ONS 2021 19+1","Female","1.920401995","% of Total Age Group Population","39.54538497","% of Total Ethnic Group Population","103340","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Black Caribbean","ONS 2021 19+1","Male","1.90249808","% of Total Age Group Population","42.70645027","% of Total Ethnic Group Population","107490","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","All","1.668599837","% of Total Age Group Population","39.4101274","% of Total Ethnic Group Population","184065","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Female","1.68049112","% of Total Age Group Population","37.27074146","% of Total Ethnic Group Population","90430","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Male","1.657274237","% of Total Age Group Population","41.72310846","% of Total Ethnic Group Population","93635","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","White","ONS 2021 5+1","All","73.29950173","% of Total Age Group Population","16.60347762","% of Total Ethnic Group Population","8085745","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","White","ONS 2021 5+1","Female","73.16064458","% of Total Age Group Population","15.8414501","% of Total Ethnic Group Population","3936895","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","White","ONS 2021 5+1","Male","73.43175326","% of Total Age Group Population","17.39760714","% of Total Ethnic Group Population","4148850","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","White British","ONS 2021 19+1","All","67.68437976","% of Total Age Group Population","16.83311524","% of Total Ethnic Group Population","7466335","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","White British","ONS 2021 19+1","Female","67.53639779","% of Total Age Group Population","16.11249166","% of Total Ethnic Group Population","3634245","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","White British","ONS 2021 19+1","Male","67.82532204","% of Total Age Group Population","17.5787251","% of Total Ethnic Group Population","3832090","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","White Irish","ONS 2021 19+1","All","0.234790622","% of Total Age Group Population","5.103900838","% of Total Ethnic Group Population","25900","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","White Irish","ONS 2021 19+1","Female","0.23470754","% of Total Age Group Population","4.790805295","% of Total Ethnic Group Population","12630","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","White Irish","ONS 2021 19+1","Male","0.234869751","% of Total Age Group Population","5.442427971","% of Total Ethnic Group Population","13270","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Gypsy or Irish Traveller","ONS 2021 19+1","All","0.187016623","% of Total Age Group Population","30.46817309","% of Total Ethnic Group Population","20630","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Gypsy or Irish Traveller","ONS 2021 19+1","Female","0.186762532","% of Total Age Group Population","29.63290579","% of Total Ethnic Group Population","10050","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Gypsy or Irish Traveller","ONS 2021 19+1","Male","0.187258626","% of Total Age Group Population","31.30640627","% of Total Ethnic Group Population","10580","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Roma","ONS 2021 19+1","All","0.162495054","% of Total Age Group Population","17.76599435","% of Total Ethnic Group Population","17925","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Roma","ONS 2021 19+1","Female","0.163440445","% of Total Age Group Population","19.53359245","% of Total Ethnic Group Population","8795","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Roma","ONS 2021 19+1","Male","0.161594636","% of Total Age Group Population","16.34150707","% of Total Ethnic Group Population","9130","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other White Background","ONS 2021 19+1","All","5.030819669","% of Total Age Group Population","15.12961405","% of Total Ethnic Group Population","554955","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other White Background","ONS 2021 19+1","Female","5.039336278","% of Total Age Group Population","13.87907915","% of Total Ethnic Group Population","271175","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other White Background","ONS 2021 19+1","Male","5.022708206","% of Total Age Group Population","16.55499908","% of Total Ethnic Group Population","283780","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Other","ONS 2021 5+1","All","2.587954697","% of Total Age Group Population","22.73753629","% of Total Ethnic Group Population","285480","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Other","ONS 2021 5+1","Female","2.57425669","% of Total Age Group Population","22.43247182","% of Total Ethnic Group Population","138525","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Other","ONS 2021 5+1","Male","2.601001073","% of Total Age Group Population","23.03279652","% of Total Ethnic Group Population","146955","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Arab","ONS 2021 19+1","All","0.856759137","% of Total Age Group Population","28.48445576","% of Total Ethnic Group Population","94510","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Arab","ONS 2021 19+1","Female","0.852975146","% of Total Age Group Population","29.45328542","% of Total Ethnic Group Population","45900","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Arab","ONS 2021 19+1","Male","0.860363119","% of Total Age Group Population","27.62638175","% of Total Ethnic Group Population","48610","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Ethnic Background","ONS 2021 19+1","All","1.73119556","% of Total Age Group Population","20.67334235","% of Total Ethnic Group Population","190970","11031105"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Ethnic Background","ONS 2021 19+1","Female","1.721281544","% of Total Age Group Population","20.06259747","% of Total Ethnic Group Population","92625","5381165"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Ethnic Background","ONS 2021 19+1","Male","1.740637954","% of Total Age Group Population","21.28357175","% of Total Ethnic Group Population","98345","5649940"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","All","All","All","100","% of Total Age Group Population","18.56289123","% of Total Ethnic Group Population","11062930","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","All","All","Female","100","% of Total Age Group Population","19.71250521","% of Total Ethnic Group Population","5996550","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","All","All","Male","100","% of Total Age Group Population","17.36429974","% of Total Ethnic Group Population","5066380","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Asian","ONS 2021 5+1","All","3.758543171","% of Total Age Group Population","7.539104783","% of Total Ethnic Group Population","415805","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Asian","ONS 2021 5+1","Female","3.757076986","% of Total Age Group Population","8.023426218","% of Total Ethnic Group Population","225295","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Asian","ONS 2021 5+1","Male","3.760278542","% of Total Age Group Population","7.036783269","% of Total Ethnic Group Population","190510","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Bangladeshi","ONS 2021 19+1","All","0.223313354","% of Total Age Group Population","3.831182929","% of Total Ethnic Group Population","24705","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Bangladeshi","ONS 2021 19+1","Female","0.248476207","% of Total Age Group Population","4.633805007","% of Total Ethnic Group Population","14900","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Bangladeshi","ONS 2021 19+1","Male","0.193530687","% of Total Age Group Population","3.032880695","% of Total Ethnic Group Population","9805","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Chinese","ONS 2021 19+1","All","0.344122217","% of Total Age Group Population","8.543632671","% of Total Ethnic Group Population","38070","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Chinese","ONS 2021 19+1","Female","0.366460715","% of Total Age Group Population","8.937468226","% of Total Ethnic Group Population","21975","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Chinese","ONS 2021 19+1","Male","0.317682448","% of Total Age Group Population","8.058782295","% of Total Ethnic Group Population","16095","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Indian","ONS 2021 19+1","All","1.79753465","% of Total Age Group Population","10.66690984","% of Total Ethnic Group Population","198860","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Indian","ONS 2021 19+1","Female","1.754175317","% of Total Age Group Population","11.2740212","% of Total Ethnic Group Population","105190","5996550"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Indian","ONS 2021 19+1","Male","1.848854606","% of Total Age Group Population","10.0586315","% of Total Ethnic Group Population","93670","5066380"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Pakistani","ONS 2021 19+1","All","0.786907266","% of Total Age Group Population","5.482674359","% of Total Ethnic Group Population","87055","11062930"
"Percent of Working Age Population in England and Wales","2021","Census 2021","All - England and Wales","National","K04000001","Above Working Age (65+)","Pakistani","ONS 2021 19+1","Female","0.740008838","% of Total Age Group Population","5.614068381","% of Total Ethnic Group Population","44375","5996550"
